2026-06-20 12:37:51 | INFO     | __main__:main:170 - MT5 Scalper Bot | mode=download | OS=Mac/Linux | DATA_SOURCE=YFINANCE
2026-06-20 12:42:09 | INFO     | __main__:main:697 - MT5 Scalper | mode=download | OS=Mac/Linux | DATA_SOURCE=YFINANCE
2026-06-20 12:42:09 | ERROR    | phase1_data.database:connect:183 - DB connect failed (attempt 1/5): role "postgres" does not exist
2026-06-20 12:42:10 | ERROR    | phase1_data.database:connect:183 - DB connect failed (attempt 2/5): role "postgres" does not exist
2026-06-20 12:42:12 | ERROR    | phase1_data.database:connect:183 - DB connect failed (attempt 3/5): role "postgres" does not exist
2026-06-20 12:42:16 | ERROR    | phase1_data.database:connect:183 - DB connect failed (attempt 4/5): role "postgres" does not exist
2026-06-20 12:42:24 | ERROR    | phase1_data.database:connect:183 - DB connect failed (attempt 5/5): role "postgres" does not exist
2026-06-20 12:43:17 | INFO     | __main__:main:697 - MT5 Scalper | mode=download | OS=Mac/Linux | DATA_SOURCE=YFINANCE
2026-06-20 12:43:17 | INFO     | phase1_data.database:connect:179 - Database connected and schema ensured
2026-06-20 12:43:21 | INFO     | phase1_data.yfinance_downloader:connect:33 - YFinanceDownloader ready
2026-06-20 12:43:21 | INFO     | __main__:run_download:76 - Full download: EURUSD 15m (insufficient history in DB)
2026-06-20 12:43:21 | WARNING  | phase1_data.yfinance_downloader:_download_sync:66 - [EURUSD 15m] yfinance giới hạn 60 ngày. Start capped: 2024-06-20 → 2026-04-21
2026-06-20 12:43:21 | INFO     | phase1_data.yfinance_downloader:_download_sync:72 - yfinance downloading EURUSD (EURUSD=X) 15m từ 2026-04-21 ...
2026-06-20 12:43:23 | WARNING  | phase1_data.yfinance_downloader:_download_sync:87 - yfinance không có data EURUSD 15m
2026-06-20 12:43:23 | WARNING  | __main__:run_download:85 - No data returned for EURUSD 15m
2026-06-20 12:43:23 | INFO     | __main__:run_download:76 - Full download: EURUSD 1h (insufficient history in DB)
2026-06-20 12:43:23 | INFO     | phase1_data.yfinance_downloader:_download_sync:72 - yfinance downloading EURUSD (EURUSD=X) 1h từ 2024-06-20 ...
2026-06-20 12:43:23 | WARNING  | phase1_data.yfinance_downloader:_download_sync:87 - yfinance không có data EURUSD 1h
2026-06-20 12:43:23 | WARNING  | __main__:run_download:85 - No data returned for EURUSD 1h
2026-06-20 12:43:23 | INFO     | __main__:run_download:76 - Full download: GBPUSD 15m (insufficient history in DB)
2026-06-20 12:43:23 | WARNING  | phase1_data.yfinance_downloader:_download_sync:66 - [GBPUSD 15m] yfinance giới hạn 60 ngày. Start capped: 2024-06-20 → 2026-04-21
2026-06-20 12:43:23 | INFO     | phase1_data.yfinance_downloader:_download_sync:72 - yfinance downloading GBPUSD (GBPUSD=X) 15m từ 2026-04-21 ...
2026-06-20 12:43:24 | WARNING  | phase1_data.yfinance_downloader:_download_sync:87 - yfinance không có data GBPUSD 15m
2026-06-20 12:43:24 | WARNING  | __main__:run_download:85 - No data returned for GBPUSD 15m
2026-06-20 12:43:24 | INFO     | __main__:run_download:76 - Full download: GBPUSD 1h (insufficient history in DB)
2026-06-20 12:43:24 | INFO     | phase1_data.yfinance_downloader:_download_sync:72 - yfinance downloading GBPUSD (GBPUSD=X) 1h từ 2024-06-20 ...
2026-06-20 12:43:24 | WARNING  | phase1_data.yfinance_downloader:_download_sync:87 - yfinance không có data GBPUSD 1h
2026-06-20 12:43:24 | WARNING  | __main__:run_download:85 - No data returned for GBPUSD 1h
2026-06-20 12:43:24 | INFO     | phase1_data.database:disconnect:191 - Database disconnected
2026-06-20 12:43:24 | INFO     | __main__:run_download:89 - Download complete
2026-06-20 12:44:43 | INFO     | __main__:main:697 - MT5 Scalper | mode=download | OS=Mac/Linux | DATA_SOURCE=YFINANCE
2026-06-20 12:44:43 | INFO     | phase1_data.database:connect:179 - Database connected and schema ensured
2026-06-20 12:44:44 | INFO     | phase1_data.yfinance_downloader:connect:51 - YFinanceDownloader ready
2026-06-20 12:44:44 | INFO     | __main__:run_download:76 - Full download: EURUSD 15m (insufficient history in DB)
2026-06-20 12:44:44 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading EURUSD (EURUSD=X) 15m period=60d ...
2026-06-20 12:44:45 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 5531 candles cho EURUSD 15m
2026-06-20 12:44:45 | INFO     | __main__:run_download:83 - Saved 5531 candles for EURUSD 15m
2026-06-20 12:44:45 | INFO     | __main__:run_download:76 - Full download: EURUSD 1h (insufficient history in DB)
2026-06-20 12:44:45 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading EURUSD (EURUSD=X) 1h period=2y ...
2026-06-20 12:44:45 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 12205 candles cho EURUSD 1h
2026-06-20 12:44:46 | INFO     | __main__:run_download:83 - Saved 12205 candles for EURUSD 1h
2026-06-20 12:44:46 | INFO     | __main__:run_download:76 - Full download: GBPUSD 15m (insufficient history in DB)
2026-06-20 12:44:46 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading GBPUSD (GBPUSD=X) 15m period=60d ...
2026-06-20 12:44:46 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 5531 candles cho GBPUSD 15m
2026-06-20 12:44:46 | INFO     | __main__:run_download:83 - Saved 5531 candles for GBPUSD 15m
2026-06-20 12:44:46 | INFO     | __main__:run_download:76 - Full download: GBPUSD 1h (insufficient history in DB)
2026-06-20 12:44:46 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading GBPUSD (GBPUSD=X) 1h period=2y ...
2026-06-20 12:44:47 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 12206 candles cho GBPUSD 1h
2026-06-20 12:44:47 | INFO     | __main__:run_download:83 - Saved 12206 candles for GBPUSD 1h
2026-06-20 12:44:47 | INFO     | phase1_data.database:disconnect:191 - Database disconnected
2026-06-20 12:44:47 | INFO     | __main__:run_download:89 - Download complete
2026-06-20 12:47:04 | INFO     | __main__:main:697 - MT5 Scalper | mode=download | OS=Mac/Linux | DATA_SOURCE=YFINANCE
2026-06-20 12:47:04 | INFO     | phase1_data.database:connect:179 - Database connected and schema ensured
2026-06-20 12:47:04 | INFO     | phase1_data.yfinance_downloader:connect:51 - YFinanceDownloader ready
2026-06-20 12:47:05 | INFO     | __main__:run_download:76 - Full download: EURUSD 15m (insufficient history in DB)
2026-06-20 12:47:05 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading EURUSD (EURUSD=X) 15m period=60d ...
2026-06-20 12:47:06 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 5531 candles cho EURUSD 15m
2026-06-20 12:47:06 | INFO     | __main__:run_download:83 - Saved 5531 candles for EURUSD 15m
2026-06-20 12:47:06 | INFO     | __main__:run_download:78 - Incremental update: EURUSD 1h from 2026-06-19
2026-06-20 12:47:06 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading EURUSD (EURUSD=X) 1h period=2y ...
2026-06-20 12:47:06 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 0 candles cho EURUSD 1h
2026-06-20 12:47:06 | WARNING  | __main__:run_download:85 - No data returned for EURUSD 1h
2026-06-20 12:47:06 | INFO     | __main__:run_download:76 - Full download: GBPUSD 15m (insufficient history in DB)
2026-06-20 12:47:06 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading GBPUSD (GBPUSD=X) 15m period=60d ...
2026-06-20 12:47:07 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 5531 candles cho GBPUSD 15m
2026-06-20 12:47:07 | INFO     | __main__:run_download:83 - Saved 5531 candles for GBPUSD 15m
2026-06-20 12:47:07 | INFO     | __main__:run_download:78 - Incremental update: GBPUSD 1h from 2026-06-19
2026-06-20 12:47:07 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading GBPUSD (GBPUSD=X) 1h period=2y ...
2026-06-20 12:47:11 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 0 candles cho GBPUSD 1h
2026-06-20 12:47:11 | WARNING  | __main__:run_download:85 - No data returned for GBPUSD 1h
2026-06-20 12:47:11 | INFO     | __main__:run_download:76 - Full download: USDJPY 15m (insufficient history in DB)
2026-06-20 12:47:11 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading USDJPY (USDJPY=X) 15m period=60d ...
2026-06-20 12:47:11 | INFO     | phase1_data.yfinance_downloader:_download_sync:131 - yfinance downloaded 5531 candles cho USDJPY 15m
2026-06-20 12:47:11 | INFO     | __main__:run_download:83 - Saved 5531 candles for USDJPY 15m
2026-06-20 12:47:11 | INFO     | __main__:run_download:76 - Full download: USDJPY 1h (insufficient history in DB)
2026-06-20 12:47:11 | INFO     | phase1_data.yfinance_downloader:_download_sync:76 - yfinance downloading USDJPY (USDJPY=X) 1h period=2y ...
